reg;naimko;regko;golofic;filial;dopof;vsego
Московская область;АО «Первый Инвестиционный Банк»;604;;;1;1
Московская область;АО «Почта Банк»;650;;;21;21
Московская область;ПАО «Совкомбанк»;963;;;25;25
Московская область;Банк ВТБ (ПАО);1000;;;78;78
Московская область;АО «РЕАЛИСТ БАНК»;1067;;;1;1
Московская область;КБ «ЭНЕРГОТРАНСБАНК» (АО);1307;;;2;2
Московская область;АО «АЛЬФА-БАНК»;1326;;;80;80
Московская область;ПАО Сбербанк;1481;;;447;447
Московская область;«СДМ-Банк» (ПАО);1637;;;2;2
Московская область;АО МОСОБЛБАНК;1751;;;8;8
Московская область;АКБ «ФОРА-БАНК» (АО);1885;;;20;20
Московская область;ООО МИБ «ДАЛЕНА»;1948;;;1;1
Московская область;ПАО «МОСКОВСКИЙ КРЕДИТНЫЙ БАНК»;1978;;;31;31
Московская область;Банк «СЕРВИС РЕЗЕРВ» (АО);2034;;;1;1
Московская область;ПАО Банк «ФК Открытие»;2209;;;16;16
Московская область;ТКБ БАНК ПАО;2210;;;7;7
Московская область;ПАО РОСБАНК;2272;;;5;5
Московская область;ПАО «БАНК УРАЛСИБ»;2275;;;8;8
Московская область;АО «Банк Русский Стандарт»;2289;;;11;11
Московская область;АКБ «Абсолют Банк» (ПАО);2306;;;8;8
Московская область;Банк Глобус (АО);2438;;;5;5
Московская область;АО «ГЕНБАНК»;2490;;;2;2
Московская область;АО КБ «Пойдём!»;2534;;;1;1
Московская область;АО АКБ «НОВИКОМБАНК»;2546;;;2;2
Московская область;АКБ «СЛАВИЯ» (АО);2664;;1;2;3
Московская область;КБ «Крокус-Банк» (ООО);2682;1;;6;7
Московская область;ИНВЕСТТОРГБАНК АО;2763;;;6;6
Московская область;АО «ОТП Банк»;2766;;;2;2
Московская область;ООО «АТБ» Банк;2776;;;7;7
Московская область;АО МС Банк Рус;2789;;;5;5
Московская область;АКБ «Трансстройбанк» (АО);2807;;;1;1
Московская область;ПАО АКБ «АВАНГАРД»;2879;;;36;36
Московская область;ББР Банк (АО);2929;;;1;1
Московская область;КБ «НМБ» ООО;2932;;;5;5
Московская область;АО «НС Банк»;3124;;;2;2
Московская область;АО КБ «ИС Банк»;3175;;;1;1
Московская область;ПАО «Промсвязьбанк»;3251;;;24;24
Московская область;АО «Газэнергобанк»;3252;;;2;2
Московская область;ПАО Банк ЗЕНИТ;3255;;;13;13
Московская область;АО «Райффайзенбанк»;3292;;;8;8
Московская область;АО «ПроБанк»;3296;;;4;4
Московская область;АО «КОШЕЛЕВ-БАНК»;3300;;;1;1
Московская область;АО «Кредит Европа Банк (Россия)»;3311;;;2;2
Московская область;АО «Россельхозбанк»;3349;;;28;28
Московская область;КБ «Ренессанс Кредит» (ООО);3354;;;2;2
Московская область;АО «СМП Банк»;3368;;;2;2
Московская область;АО «Банк Финсервис»;3388;;;6;6
Московская область;АО КБ «ЮНИСТРИМ»;3467;;;30;30
Московская область;АйСиБиСи Банк (АО);3475;;;1;1
Московская область;ООО «Фибабанк»;3519;1;;;1
Орловская область;ООО «ХКФ Банк»;316;;;1;1
Орловская область;Банк ГПБ (АО);354;;;1;1
Орловская область;ПАО КБ «УБРиР»;429;;;1;1
Орловская область;АО «Почта Банк»;650;;;3;3
Орловская область;«Банк Заречье» (АО);817;;1;1;2
Орловская область;ПАО «Совкомбанк»;963;;;1;1
Орловская область;Банк ВТБ (ПАО);1000;;;5;5
Орловская область;АО «АЛЬФА-БАНК»;1326;;;4;4
Орловская область;ПАО Сбербанк;1481;;1;76;77
Орловская область;АКБ «Ланта-Банк» (АО);1920;;1;2;3
Орловская область;ПАО «МОСКОВСКИЙ КРЕДИТНЫЙ БАНК»;1978;;;1;1
Орловская область;ПАО Банк «ФК Открытие»;2209;;;2;2
Орловская область;ПАО РОСБАНК;2272;;;1;1
Орловская область;ПАО «БАНК УРАЛСИБ»;2275;;;1;1
Орловская область;АО «Банк Русский Стандарт»;2289;;;1;1
Орловская область;ПАО АКБ «АВАНГАРД»;2879;;;4;4
Орловская область;АО «Экспобанк»;2998;;;1;1
Орловская область;ПАО «Промсвязьбанк»;3251;;;6;6
Орловская область;АО «Райффайзенбанк»;3292;;;1;1
Орловская область;АО «Россельхозбанк»;3349;;1;17;18
Орловская область;АО «СМП Банк»;3368;;;1;1
Рязанская область;Прио-Внешторгбанк (ПАО);212;1;;19;20
Рязанская область;ООО «ХКФ Банк»;316;;;1;1
Рязанская область;Банк ГПБ (АО);354;;;2;2
Рязанская область;АО «Почта Банк»;650;;;5;5
Рязанская область;ПАО Банк Синара;705;;;1;1
Рязанская область;ПАО «Совкомбанк»;963;;;2;2
Рязанская область;Банк ВТБ (ПАО);1000;;;8;8
Рязанская область;ООО «ФФИН Банк»;1143;;;1;1
Рязанская область;АО «АЛЬФА-БАНК»;1326;;;4;4
Рязанская область;АО «Автоградбанк»;1455;;;1;1
Рязанская область;ПАО Сбербанк;1481;;1;95;96
Рязанская область;АО МОСОБЛБАНК;1751;;;1;1
